ticker1, ticker2, zscore, profit_cash, returns, trades, sma_short, sma_long, timeframe
EOSUSDT,LTCUSDT,0.5,-20.623318100615727,-790.2,7403,45,3,1m
EOSUSDT,LTCUSDT,0.6,-18.25690529354144,-699.53,6778,45,3,1m
EOSUSDT,LTCUSDT,0.7,-16.730690761869052,-641.05,6243,45,3,1m
EOSUSDT,LTCUSDT,0.8,-15.697084772757222,-601.44,5831,45,3,1m
EOSUSDT,LTCUSDT,0.9,-13.573456037195045,-520.08,5442,45,3,1m
EOSUSDT,LTCUSDT,1.0,-12.203334960850936,-467.58,5116,45,3,1m
EOSUSDT,LTCUSDT,1.1,-12.864569976336226,-492.91,4803,45,3,1m
EOSUSDT,LTCUSDT,1.2,-10.716338046146276,-410.6,4433,45,3,1m
EOSUSDT,LTCUSDT,1.3,-10.540579061943813,-403.27,4102,45,3,1m
EOSUSDT,LTCUSDT,1.4,-10.202969519787874,-390.35,3782,45,3,1m
EOSUSDT,LTCUSDT,1.5,-9.479686794421362,-362.68,3473,45,3,1m
EOSUSDT,LTCUSDT,1.6,-8.827709961807706,-337.73,3175,45,3,1m
EOSUSDT,LTCUSDT,1.7,-8.541772128895596,-326.8,2875,45,3,1m
EOSUSDT,LTCUSDT,1.8,-6.757917462054972,-258.55,2530,45,3,1m
EOSUSDT,LTCUSDT,1.9,-4.413029245291416,-168.84,2209,45,3,1m
EOSUSDT,LTCUSDT,0.5,-18.07415086710706,-692.52,6867,50,3,1m
EOSUSDT,LTCUSDT,0.6,-16.66202208881235,-638.42,6304,50,3,1m
EOSUSDT,LTCUSDT,0.7,-15.125427543934643,-579.54,5821,50,3,1m
EOSUSDT,LTCUSDT,0.8,-14.260302012980281,-546.39,5408,50,3,1m
EOSUSDT,LTCUSDT,0.9,-13.60480722350925,-520.5,5060,50,3,1m
EOSUSDT,LTCUSDT,1.0,-11.00718800280293,-421.12,4726,50,3,1m
EOSUSDT,LTCUSDT,1.1,-11.057759552092767,-423.05,4399,50,3,1m
EOSUSDT,LTCUSDT,1.2,-10.479871558651022,-400.94,4097,50,3,1m
EOSUSDT,LTCUSDT,1.3,-9.425651348133034,-360.61,3803,50,3,1m
EOSUSDT,LTCUSDT,1.4,-8.745992177812884,-334.61,3489,50,3,1m
EOSUSDT,LTCUSDT,1.5,-8.784214410268579,-336.07,3237,50,3,1m
EOSUSDT,LTCUSDT,1.6,-8.543892205871519,-326.88,2982,50,3,1m
EOSUSDT,LTCUSDT,1.7,-7.311552952975507,-279.73,2695,50,3,1m
EOSUSDT,LTCUSDT,1.8,-5.695483182687431,-217.9,2400,50,3,1m
EOSUSDT,LTCUSDT,1.9,-4.28352131046362,-163.88,2111,50,3,1m
EOSUSDT,LTCUSDT,0.5,-17.28785670489036,-662.4,6420,55,3,1m
EOSUSDT,LTCUSDT,0.6,-16.8007401881434,-643.73,5866,55,3,1m
EOSUSDT,LTCUSDT,0.7,-14.471421976616757,-553.65,5428,55,3,1m
EOSUSDT,LTCUSDT,0.8,-12.232736431723264,-468.01,5039,55,3,1m
EOSUSDT,LTCUSDT,0.9,-12.143396019615595,-464.59,4695,55,3,1m
EOSUSDT,LTCUSDT,1.0,-11.744882420996598,-449.34,4372,55,3,1m
EOSUSDT,LTCUSDT,1.1,-9.363469747298309,-358.23,4073,55,3,1m
EOSUSDT,LTCUSDT,1.2,-9.470223708648625,-362.32,3790,55,3,1m
EOSUSDT,LTCUSDT,1.3,-9.693131222163867,-370.84,3536,55,3,1m
EOSUSDT,LTCUSDT,1.4,-9.151550902700649,-350.12,3250,55,3,1m
EOSUSDT,LTCUSDT,1.5,-8.14803324441643,-311.73,2992,55,3,1m
EOSUSDT,LTCUSDT,1.6,-6.8554060339511445,-262.28,2741,55,3,1m
EOSUSDT,LTCUSDT,1.7,-6.350164723137878,-242.95,2496,55,3,1m
EOSUSDT,LTCUSDT,1.8,-4.776480612648067,-182.74,2255,55,3,1m
EOSUSDT,LTCUSDT,1.9,-3.3461740353410065,-128.06,1984,55,3,1m
EOSUSDT,LTCUSDT,0.5,-17.288337652792233,-662.41,6037,60,3,1m
EOSUSDT,LTCUSDT,0.6,-13.937392508914428,-533.22,5507,60,3,1m
EOSUSDT,LTCUSDT,0.7,-14.767886920388221,-565.0,5076,60,3,1m
EOSUSDT,LTCUSDT,0.8,-12.758132948816224,-488.11,4721,60,3,1m
EOSUSDT,LTCUSDT,0.9,-11.047546275083356,-422.66,4373,60,3,1m
EOSUSDT,LTCUSDT,1.0,-10.621666155492282,-406.37,4061,60,3,1m
EOSUSDT,LTCUSDT,1.1,-9.354693543791075,-357.9,3796,60,3,1m
EOSUSDT,LTCUSDT,1.2,-9.668845134267947,-369.92,3546,60,3,1m
EOSUSDT,LTCUSDT,1.3,-9.587225734917753,-366.79,3300,60,3,1m
EOSUSDT,LTCUSDT,1.4,-7.8068794421574506,-298.68,3043,60,3,1m
EOSUSDT,LTCUSDT,1.5,-6.711464085040248,-256.77,2812,60,3,1m
EOSUSDT,LTCUSDT,1.6,-6.295412588916806,-240.85,2577,60,3,1m
EOSUSDT,LTCUSDT,1.7,-5.53735499026555,-211.85,2356,60,3,1m
EOSUSDT,LTCUSDT,1.8,-4.059723613147259,-155.32,2121,60,3,1m
EOSUSDT,LTCUSDT,1.9,-2.6923945143967143,-103.04,1901,60,3,1m
EOSUSDT,LTCUSDT,0.5,-15.722740415479516,-601.53,5711,65,3,1m
EOSUSDT,LTCUSDT,0.6,-14.235308279671994,-544.62,5189,65,3,1m
EOSUSDT,LTCUSDT,0.7,-12.739950012918275,-487.41,4770,65,3,1m
EOSUSDT,LTCUSDT,0.8,-11.48331495474054,-439.33,4408,65,3,1m
EOSUSDT,LTCUSDT,0.9,-10.39256634738874,-397.6,4110,65,3,1m
EOSUSDT,LTCUSDT,1.0,-9.826308736758984,-375.94,3805,65,3,1m
EOSUSDT,LTCUSDT,1.1,-8.87170394064156,-339.42,3568,65,3,1m
EOSUSDT,LTCUSDT,1.2,-9.108798291098106,-348.49,3318,65,3,1m
EOSUSDT,LTCUSDT,1.3,-8.619817462688053,-329.78,3071,65,3,1m
EOSUSDT,LTCUSDT,1.4,-7.010607189344956,-268.22,2860,65,3,1m
EOSUSDT,LTCUSDT,1.5,-6.187935302034438,-236.74,2628,65,3,1m
EOSUSDT,LTCUSDT,1.6,-5.350830937517774,-204.71,2426,65,3,1m
EOSUSDT,LTCUSDT,1.7,-5.228172899814377,-200.02,2228,65,3,1m
EOSUSDT,LTCUSDT,1.8,-2.9797612936297493,-114.04,2027,65,3,1m
EOSUSDT,LTCUSDT,1.9,-2.532819430189411,-96.94,1820,65,3,1m
EOSUSDT,LTCUSDT,0.5,-14.457107668188772,-552.45,5392,70,3,1m
EOSUSDT,LTCUSDT,0.6,-13.026169857087957,-497.77,4897,70,3,1m
EOSUSDT,LTCUSDT,0.7,-11.704664376645828,-447.27,4537,70,3,1m
EOSUSDT,LTCUSDT,0.8,-11.547667389464811,-441.27,4180,70,3,1m
EOSUSDT,LTCUSDT,0.9,-10.565347283869727,-403.74,3880,70,3,1m
